reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
HCOMQT53WW001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-10-w1/black-alligator-leather-hcomqt53ww001,N/A,Harry Winston,N/A,N/A,Histoire de Tourbillon 10,N/A,Limited edition: 10 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,53.3 x 39.1 mm,N/A,N/A,17.6 mm,N/A,N/A,N/A,3,N/A,skeletonized,N/A,18K white gold,N/A,18K white gold,manual,HW4702,N/A,N/A,N/A,"hours and minutes
power reserve",N/A,"Limited edition

                            10"
HCOMTT47RR002,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-9-r1/dark-blue-alligator-leather-stitching-in-18k-rose-gold-thread-hcomtt47rr002,N/A,Harry Winston,N/A,N/A,Histoire de Tourbillon 9,N/A,Limited edition: 10 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,46.5 mm,N/A,N/A,20.8 mm,N/A,N/A,N/A,3,N/A,skeletonized,N/A,18K rose gold,N/A,18K rose gold,manual,HW4504,N/A,N/A,N/A,"retrograde jumping hours
retrograde minutes
power reserve indicator",N/A,"Limited edition

                            10"
HCOMTT47PP001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-9-p1/blue-alligator-leather-stitching-in-950-platinum-thread-hcomtt47pp001,N/A,Harry Winston,N/A,N/A,Histoire de Tourbillon 9,N/A,Limited edition: unique piece,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,40.4 mm,N/A,N/A,10.60 mm,N/A,N/A,N/A,3,N/A,skeletonized,N/A,platinum,N/A,platinum,manual,HW4504,N/A,N/A,N/A,"retrograde jumping hours
retrograde minutes
power reserve indicator",N/A,"Limited edition

                            1"
EMEQHM18RR018,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r5/18k-rose-gold-emeqhm18rr018,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,green mother-of-pearl,N/A,18K rose gold,N/A,18K rose gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            144 brilliant-cut diamonds (approx. 0.65 carat)
3 brilliant-cut emeralds (approx. 0.003 carat)
1 emerald-cut emerald (approx. 0.02 carat)"
EMEQHM18WW014,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w4/turquoise-satin-emeqhm18ww014,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,"turquoise mother-of-pearl
turquoise beaded mother-of-pearl
turquoise mother-of-pearl cabochons
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            84 brilliant-cut diamonds (approx. 0.58 carat)"
EMEQHM18RR009,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r3/red-satin-emeqhm18rr009,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,white mother-of-pearl,N/A,18K rose gold,N/A,18K rose gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            108 brilliant-cut diamonds (approx. 0.60 carat)
3 brilliant-cut rubies (approx. 0.003 carat)
1 emerald-cut ruby (approx. 0.02 carat)"
EMEQHM18RR013,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r5/green-satin-emeqhm18rr013,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,green mother-of-pearl,N/A,18K rose gold,N/A,18K rose gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            108 brilliant-cut diamonds (approx. 0.60 carat)
3 brilliant-cut emeralds (approx. 0.003 carat)
1 emerald-cut emerald (approx. 0.02 carat)"
EMEQHM18WW024,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w6/18k-white-gold-emeqhm18ww024,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,"violet mother-of-pearl
violet beaded mother-of-pearl
violet mother-of-pearl cabochons
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            120 brilliant-cut diamonds (approx. 0.63 carat)"
HCOMDT51WW004,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-8-w2/black-alligator-leather-hcomdt51ww004,N/A,Harry Winston,N/A,N/A,Histoire de Tourbillon 8,N/A,Limited edition: 10 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,50.9 mm,N/A,N/A,17.3 mm,N/A,N/A,N/A,3,N/A,"structured red treatment
selective rhodium plating
aluminium cones",N/A,18K white gold,N/A,18K white gold,manual,HW4503,N/A,N/A,N/A,"excentered hours and minutes
power reserve",N/A,"Limited edition

                            10"
HCOMQT53WW001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-10-w1/black-alligator-leather-hcomqt53ww001,N/A,Harry Winston,N/A,N/A,Histoire de Tourbillon 10,N/A,Limited edition: 10 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,53.3 x 39.1 mm,N/A,N/A,17.6 mm,N/A,N/A,N/A,3,N/A,skeletonized,N/A,18K white gold,N/A,18K white gold,manual,HW4702,N/A,N/A,N/A,"hours and minutes
power reserve",N/A,"Limited edition

                            10"
EMEQHM18WW034,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w9/18k-white-gold-emeqhm18ww034,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.3 mm,N/A,N/A,N/A,3,N/A,"pink mother-of-pearl
pink beaded mother-of-pearl
pink mother-of-pearl cabochons
18K white gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            120 brilliant-cut diamonds (approx. 0.62 carat)"
EMEQHM18RR005,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r2/18k-rose-gold-emeqhm18rr005,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,white mother-of-pearl,N/A,18K rose gold,N/A,18K rose gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            144 brilliant-cut diamonds (approx. 0.65 carat)3 brilliant-cut blue aquamarines (approx. 0.006 carat)1 emerald-cut blue aquamarine (approx. 0.02 carat)"
EMEQHM18RR006,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r2/light-blue-satin-emeqhm18rr006,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,white mother-of-pearl,N/A,18K rose gold,N/A,18K rose gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            108 brilliant-cut diamonds (approx. 0.60 carat)3 brilliant-cut blue aquamarines (approx. 0.006 carat)1 emerald-cut blue aquamarine (approx. 0.02 carat)"
EMEQHM18WW007,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w2/pink-satin-emeqhm18ww007,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,white mother-of-pearl,N/A,18K white gold,N/A,18K white gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            108 brilliant-cut diamonds (approx. 0.60 carat)3 brilliant-cut pink sapphires (approx. 0.006 carat)1 emerald-cut pink sapphire (approx. 0.02 carat)"
EMEQHM18WW006,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w2/18k-white-gold-emeqhm18ww006,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,white mother-of-pearl,N/A,18K white gold,N/A,18K white gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            144 brilliant-cut diamonds (approx. 0.65 carat)3 brilliant-cut pink sapphires (approx. 0.006 carat)1 emerald-cut pink sapphire (approx. 0.02 carat)"
OPUMHM55WW001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/opus-14-w1/black-alligator-leather-opumhm55ww001,N/A,Harry Winston,N/A,N/A,Opus 14,N/A,Limited edition: 50 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,54.7 mm,N/A,N/A,21.9 mm,N/A,N/A,N/A,3,N/A,"sapphire crystal cut from a single block
sapphire
vinyl-style finishes
luminescent home time hours",N/A,18K white gold,N/A,18K white gold,manual,HW4601,N/A,N/A,N/A,"home time by disc
retrograde minutes
animation power reserve by disc
movement power reserve by disc
calendar by disc (on demand)
GMT by disc (on demand)
HW aesthetic disc (on demand)",N/A,"Limited edition

                            50"
EMEQHM18RR015,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r4/18k-rose-gold-emeqhm18rr015,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,white mother-of-pearl,N/A,18K rose gold,N/A,18K rose gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            144 brilliant-cut diamonds (approx. 0.65 carat)
3 brilliant-cut emeralds (approx. 0.003 carat)
1 emerald-cut emerald (approx. 0.02 carat)"
EMEQHM18RR014,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r4/green-satin-emeqhm18rr014,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,white mother-of-pearl,N/A,18K rose gold,N/A,18K rose gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            108 brilliant-cut diamonds (approx. 0.60 carat)
3 brilliant-cut emeralds (approx. 0.003 carat)
1 emerald-cut emerald (approx. 0.02 carat)"
HCOMDT51PP001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-7-p1/black-alligator-leather-hcomdt51pp001,N/A,Harry Winston,N/A,N/A,Histoire de Tourbillon 7,N/A,Limited edition: 5 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,50.9 mm,N/A,N/A,17.3 mm,N/A,N/A,N/A,3,N/A,"openworked
three-dimensional
metal
rhodium
blue anodized aluminium",N/A,platinum,N/A,platinum,manual,HW4502,N/A,N/A,N/A,"excentered hours and minutes
power reserve",N/A,"Limited edition

                            5"
EMEQHM18RR006,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r2/light-blue-satin-emeqhm18rr006,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,white mother-of-pearl,N/A,18K rose gold,N/A,18K rose gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            108 brilliant-cut diamonds (approx. 0.60 carat)3 brilliant-cut blue aquamarines (approx. 0.006 carat)1 emerald-cut blue aquamarine (approx. 0.02 carat)"
EMEQHM18WW016,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w6/violet-satin-emeqhm18ww016,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,"violet mother-of-pearl
violet beaded mother-of-pearl
violet mother-of-pearl cabochons
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            84 brilliant-cut diamonds (approx. 0.58 carat)"
EMEQHM18WW033,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w9/pink-calfskin-leather-emeqhm18ww033,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.3 mm,N/A,N/A,N/A,3,N/A,"pink mother-of-pearl
pink beaded mother-of-pearl
pink mother-of-pearl cabochons
18K white gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            84 brilliant-cut diamonds (approx. 0.58 carat)"
HCOMDT51WW001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-7-w1/black-alligator-leather-hcomdt51ww001,N/A,Harry Winston,N/A,N/A,Histoire de Tourbillon 7,N/A,Limited edition: 10 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,50.9 mm,N/A,N/A,17.3 mm,N/A,N/A,N/A,3,N/A,"openworked
three-dimensional
metal
rhodium
gray anodized aluminium",N/A,18K white gold,N/A,18K white gold,manual,HW4502,N/A,N/A,N/A,"excentered hours and minutes
power reserve",N/A,"Limited edition

                            10"
HCOMQT53RR001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-10-r1/black-alligator-leather-hcomqt53rr001,N/A,Harry Winston,N/A,N/A,Histoire de Tourbillon 10,N/A,Limited edition: 10 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,53.3 x 39.1 mm,N/A,N/A,17.6 mm,N/A,N/A,N/A,3,N/A,skeletonized,N/A,18K rose gold,N/A,18K rose gold,manual,HW4702,N/A,N/A,N/A,"hours and minutes
power reserve",N/A,"Limited edition

                            10"
EMEQHM18RR011,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r3/18k-rose-gold-emeqhm18rr011,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,white mother-of-pearl,N/A,18K rose gold,N/A,18K rose gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            144 brilliant-cut diamonds (approx. 0.65 carat)
3 brilliant-cut rubies (approx. 0.003 carat)
1 emerald-cut ruby (approx. 0.02 carat)"
HCOMTT55WW001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-6-w1/black-alligator-leather-hcomtt55ww001,N/A,Harry Winston,N/A,N/A,Histoire de Tourbillon 6,N/A,Limited edition: 20 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,55 x 49 mm,N/A,N/A,17.6 mm,N/A,N/A,N/A,3,N/A,"polished rhodium
openworked chronograph in untreated Avional
luminescent power reserve and hours and minutes counters",N/A,18K white gold,N/A,18K white gold,manual,HW4701,N/A,N/A,N/A,"excentered hours and minutes
power reserve counter for hours and minutes
excentered seconds on tri-axial tourbillon carriage
Karussel time display counter with zero-reset function
power reserve counter for Karussel",N/A,"Limited edition

                            20"
HCOMQT57WW001,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/pocket-watch-quadri-tourbillon-w1/18k-white-gold-hcomqt57ww001,N/A,Harry Winston,N/A,N/A,Pocket Watch Quadri Tourbillon,N/A,Limited edition: 8 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,57.2 mm,N/A,N/A,18.2 mm,N/A,N/A,N/A,3,N/A,N/A,N/A,18K white gold,N/A,N/A,manual,HW4703,N/A,N/A,N/A,"hours and minutes
power reserve",N/A,N/A
HCOMDT51WW002,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-7-w2/black-alligator-leather-hcomdt51ww002,N/A,Harry Winston,N/A,N/A,Histoire de Tourbillon 7,N/A,Limited edition: 10 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,50.9 mm,N/A,N/A,17.3 mm,N/A,N/A,N/A,3,N/A,"openworked
three-dimensional
metal
rhodium
red anodized aluminium",N/A,18K white gold,N/A,18K white gold,manual,HW4502,N/A,N/A,N/A,"excentered hours and minutes
power reserve",N/A,"Limited edition

                            10"
EMEQHM18WW018,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w4/18k-white-gold-emeqhm18ww018,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,"turquoise mother-of-pearl
turquoise beaded mother-of-pearl
turquoise mother-of-pearl cabochons
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            120 brilliant-cut diamonds (approx. 0.63 carat)"
HCOMDT51WW003,https://www.harrywinston.com/en/products/histoire-de-tourbillon-and-opus/histoire-de-tourbillon-8-w1/black-alligator-leather-hcomdt51ww003,N/A,Harry Winston,N/A,N/A,Histoire de Tourbillon 8,N/A,Limited edition: 10 pieces,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,50.9 mm,N/A,N/A,17.3 mm,N/A,N/A,N/A,3,N/A,"structured black treatment
selective rhodium plating
aluminium cones",N/A,18K white gold,N/A,18K white gold,manual,HW4503,N/A,N/A,N/A,"excentered hours and minutes
power reserve",N/A,"Limited edition

                            10"
EMEQHM18WW015,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w5/orange-satin-emeqhm18ww015,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,"orange mother-of-pearl
orange beaded mother-of-pearl
orange mother-of-pearl cabochons
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            84 brilliant-cut diamonds (approx. 0.58 carat)"
EMEQHM18WW027,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w7/18k-white-gold-emeqhm18ww027,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,"champagne mother-of-pearl
champagne beaded mother-of-pearl
champagne mother-of-pearl cabochons
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            120 brilliant-cut diamonds (approx. 0.63 carat)"
EMEQHM18WW021,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w5/18k-white-gold-emeqhm18ww021,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,"orange mother-of-pearl
orange beaded mother-of-pearl
orange mother-of-pearl cabochons
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            120 brilliant-cut diamonds (approx. 0.63 carat)"
EMEQHM18WW017,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w7/champagne-satin-emeqhm18ww017,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,"champagne mother-of-pearl
champagne beaded mother-of-pearl
champagne mother-of-pearl cabochons
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            84 brilliant-cut diamonds (approx. 0.58 carat)"
EMEQHD33WW001,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/emerald-33mm-w1/blue-alligator-leather-emeqhd33ww001,N/A,Harry Winston,N/A,N/A,Emerald 33mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,33.3 x 39.3 mm,N/A,N/A,6.7 mm,N/A,N/A,N/A,3,N/A,"blue
sunray satin-brushed finish
18K gold indexes and Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW5104,N/A,N/A,N/A,"hours and minutes
date",N/A,N/A
EMEQHD33WW002,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/emerald-33mm-w2/blue-alligator-leather-emeqhd33ww002,N/A,Harry Winston,N/A,N/A,Emerald 33mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,33.3 x 39.3 mm,N/A,N/A,6.7 mm,N/A,N/A,N/A,3,N/A,"blue
sunray satin-brushed finish
18K gold indexes and Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW5104,N/A,N/A,N/A,"hours and minutes
date",N/A,"Total gem-setting

                            94 brilliant-cut diamonds (approx. 1.57 cts)"
EMEQHM18YY006,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-y2/18k-yellow-gold-emeqhm18yy006,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,"white mother-of-pearl
18K gold Emerald applique",N/A,18K yellow gold,N/A,18K yellow gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            103 brilliant-cut diamonds (approx. 0.57 carat)"
EMEQHM18WW002,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w1/18k-white-gold-emeqhm18ww002,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,"blue
sunray satin-brushed finish
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            103 brilliant-cut diamonds (approx. 0.57 carat)"
EMEQHD33WW001,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/emerald-33mm-w1/blue-alligator-leather-emeqhd33ww001,N/A,Harry Winston,N/A,N/A,Emerald 33mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,33.3 x 39.3 mm,N/A,N/A,6.7 mm,N/A,N/A,N/A,3,N/A,"blue
sunray satin-brushed finish
18K gold indexes and Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW5104,N/A,N/A,N/A,"hours and minutes
date",N/A,N/A
EMEAHD33WW001,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/emerald-automatic-33mm-w1/blue-alligator-leather-emeahd33ww001,N/A,Harry Winston,N/A,N/A,Emerald Automatic 33mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,33.3 x 39.3 mm,N/A,N/A,7.5 mm,N/A,N/A,N/A,3,N/A,"gradient from light to dark blue
sunray satin-brushed finish
18K gold indexes and Emerald applique",N/A,18K white gold,N/A,18K white gold,automatic,HW2003,N/A,N/A,N/A,"hours minutes and seconds
date",N/A,N/A
EMEQHM18WW011,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-w3/18k-white-gold-emeqhm18ww011,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,"white mother-of-pearl
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            103 brilliant-cut diamonds (approx. 0.57 carat)"
EMEQHM18RR002,https://www.harrywinston.com/en/products/harry-winston-emerald-collection/harry-winston-emerald-r1/18k-rose-gold-emeqhm18rr002,N/A,Harry Winston,N/A,N/A,Harry Winston Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,17.7 x 24 mm,N/A,N/A,6.1 mm,N/A,N/A,N/A,3,N/A,"white
sunray satin-brushed finish
18K gold Emerald applique",N/A,18K rose gold,N/A,18K rose gold,quartz,HW1040,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            103 brilliant-cut diamonds (approx. 0.57 carat)"
